item_id,cluster,pattern_type,forecast_strategy,wape_spec,wape_base,rmse_spec,rmse_base
HOUSEHOLD_1_178,2,Volatile,no_adjustment,0.3672099712368169,0.3672099712368169,2.6232379897791214,2.6232379897791214
FOODS_2_258,2,Volatile,no_adjustment,0.3957431457431458,0.3957431457431458,3.909205514564569,3.909205514564569
FOODS_1_026,2,Volatile,no_adjustment,0.44897959183673475,0.44897959183673475,3.7613772987661678,3.7613772987661678
FOODS_1_135,2,Volatile,no_adjustment,1.0,1.0,5.628372005169117,5.628372005169117
FOODS_3_478,4,Burst,no_adjustment,0.4977081741787626,0.4977081741787626,3.7523801970025836,3.7523801970025836
HOBBIES_1_076,2,Volatile,no_adjustment,0.5596330275229358,0.5596330275229358,2.523107494454295,2.523107494454295
FOODS_1_105,2,Volatile,no_adjustment,0.5222672064777328,0.5222672064777328,5.238690442373973,5.238690442373973
HOUSEHOLD_1_182,2,Volatile,no_adjustment,0.9819548872180455,0.9819548872180455,3.959617586152915,3.959617586152915
FOODS_1_072,4,Burst,no_adjustment,1.038500506585613,1.038500506585613,6.057126010758244,6.057126010758244
FOODS_2_288,4,Burst,no_adjustment,0.7071069633883704,0.7071069633883704,11.342533280730976,11.342533280730976
FOODS_3_025,2,Volatile,no_adjustment,0.494773519163763,0.494773519163763,3.0877886546054607,3.0877886546054607
FOODS_2_284,2,Volatile,no_adjustment,0.4825072886297378,0.4825072886297378,3.8639160108335058,3.8639160108335058
HOBBIES_1_073,2,Volatile,no_adjustment,0.3712465878070973,0.3712465878070973,2.512215056438425,2.512215056438425
HOBBIES_1_022,2,Volatile,no_adjustment,0.3766233766233766,0.3766233766233766,2.1189138534559038,2.1189138534559038
FOODS_1_095,2,Volatile,no_adjustment,0.4470588235294118,0.4470588235294118,3.669371296868949,3.669371296868949
HOUSEHOLD_2_373,2,Volatile,no_adjustment,0.32959850606909424,0.32959850606909424,2.064026182399984,2.064026182399984
FOODS_2_361,2,Volatile,no_adjustment,0.4428571428571428,0.4428571428571428,3.0405423791132513,3.0405423791132513
HOBBIES_1_143,2,Volatile,no_adjustment,0.45238095238095216,0.45238095238095216,2.0907351504644853,2.0907351504644853
FOODS_3_452,2,Volatile,no_adjustment,0.3555194805194804,0.3555194805194804,2.7518546621565343,2.7518546621565343
HOBBIES_1_231,2,Volatile,no_adjustment,0.33358264771877344,0.33358264771877344,2.7946285942128046,2.7946285942128046
FOODS_3_543,2,Volatile,no_adjustment,1.2142857142857135,1.2142857142857135,0.5900968443520822,0.5900968443520822
HOBBIES_1_276,2,Volatile,no_adjustment,0.4395604395604394,0.4395604395604394,2.453652005331096,2.453652005331096
HOUSEHOLD_1_532,2,Volatile,no_adjustment,0.39461358313817335,0.39461358313817335,4.764880022902261,4.764880022902261
FOODS_2_394,2,Volatile,no_adjustment,0.4528985507246377,0.4528985507246377,2.7304499890782004,2.7304499890782004
HOUSEHOLD_2_439,4,Burst,no_adjustment,1.0086580086580086,1.0086580086580086,4.245646029061023,4.245646029061023
HOBBIES_2_036,2,Volatile,no_adjustment,0.5576923076923075,0.5576923076923075,5.415986351835214,5.415986351835214
HOBBIES_1_356,2,Volatile,no_adjustment,0.6061026352288489,0.6061026352288489,2.7264763834274732,2.7264763834274732
HOUSEHOLD_1_289,2,Volatile,no_adjustment,0.41362973760932953,0.41362973760932953,3.6254837819332777,3.6254837819332777
FOODS_2_295,2,Volatile,no_adjustment,0.48669467787114834,0.48669467787114834,4.713338649459615,4.713338649459615
HOUSEHOLD_2_037,2,Volatile,no_adjustment,0.5932117527862212,0.5932117527862212,3.4067385204824245,3.4067385204824245
HOUSEHOLD_1_281,2,Volatile,no_adjustment,0.39754363283775046,0.39754363283775046,4.029863014839009,4.029863014839009
HOBBIES_1_411,2,Volatile,no_adjustment,0.45121951219512196,0.45121951219512196,2.4219974047408535,2.4219974047408535
HOUSEHOLD_2_509,2,Volatile,no_adjustment,0.5633802816901409,0.5633802816901409,3.3616990359285985,3.3616990359285985
HOUSEHOLD_1_479,2,Volatile,no_adjustment,0.3670807453416151,0.3670807453416151,3.7629029718437077,3.7629029718437077
FOODS_3_629,2,Volatile,no_adjustment,1.7709923664122142,1.7709923664122142,8.59483411529203,8.59483411529203
HOBBIES_1_130,2,Volatile,no_adjustment,0.5465004793863854,0.5465004793863854,3.5216169175942054,3.5216169175942054
